pres_trial	stimulus	type	latency
17	Picture	gW	212750.0
17	Picture	H	213110.0
17	Picture	gN	213471.0
17	Picture	gX	213831.0
17	Picture	R	214191.0
17	Picture	gM	214552.0
17	Picture	WM	214912.0
17	Picture	rR	215528.0
17	Response	1	215748.992
18	Sound	correct	215868.192
18	Response	255	216684.992
19	Picture	nonWM	216702.0
19	Picture	W	218013.0
19	Picture	L	218374.0
19	Picture	D	218734.0
19	Picture	J	219094.0
19	Picture	C	219455.0
19	Picture	gF	219815.0
19	Picture	V	220175.0
19	Picture	S	220536.0
19	Picture	WM	220896.0
19	Picture	rS	221717.0
19	Response	1	221937.992
20	Sound	correct	222057.192
20	Response	255	222550.992
21	Picture	nonWM	222568.0
21	Picture	gD	223880.0
21	Picture	gB	224240.0
21	Picture	gG	224600.0
21	Picture	J	224961.0
21	Picture	gW	225321.0
21	Picture	L	225681.0
21	Picture	gK	226042.0
21	Picture	C	226402.0
21	Picture	WM	226763.0
21	Picture	rL	227387.0
21	Response	1	227566.992
22	Sound	correct	227686.192
22	Response	255	227882.992
23	Picture	nonWM	227898.0
23	Picture	gP	229210.0
23	Picture	W	229570.0
23	Picture	F	229931.0
23	Picture	S	230291.0
23	Picture	Z	230651.0
23	Picture	T	231012.0
23	Picture	K	231372.0
23	Picture	Q	231732.0
23	Picture	WM	232093.0
23	Picture	rL	232784.0
23	Response	255	233148.992
24	Sound	correct	233268.192
24	Response	1	234334.992
25	Picture	nonWM	234352.0
25	Picture	B	235663.0
25	Picture	N	236024.0
25	Picture	R	236384.0
25	Picture	G	236744.0
25	Picture	Y	237105.0
25	Picture	Z	237465.0
25	Picture	M	237825.0
25	Picture	gX	238186.0
25	Picture	WM	238546.0
25	Picture	rZ	239187.0
25	Response	1	239403.992
26	Sound	correct	239523.192
26	Response	255	241090.992
27	Picture	nonWM	241111.0
27	Picture	Y	242422.0
27	Picture	gC	242783.0
27	Picture	gP	243143.0
27	Picture	K	243503.0
27	Picture	gR	243864.0
27	Picture	gW	244224.0
27	Picture	gH	244585.0
27	Picture	L	244945.0
27	Picture	WM	245305.0
27	Picture	rK	246231.0
27	Response	1	246383.992
28	Sound	correct	246503.192
28	Response	255	247312.992
29	Picture	nonWM	247329.0
29	Picture	K	248641.0
29	Picture	gS	249001.0
29	Picture	gP	249362.0
29	Picture	F	249722.0
29	Picture	D	250082.0
29	Picture	L	250443.0
29	Picture	gT	250803.0
29	Picture	Z	251164.0
29	Picture	WM	251524.0
29	Picture	rQ	252085.0
29	Response	255	252269.992
30	Sound	correct	252389.192
30	Response	1	252585.992
31	Picture	nonWM	252605.0
31	Picture	F	253917.0
31	Picture	gC	254277.0
31	Picture	J	254637.0
31	Picture	gQ	254998.0
31	Picture	gT	255358.0
31	Picture	S	255718.0
31	Picture	M	256079.0
31	Picture	N	256439.0
31	Picture	WM	256800.0
31	Picture	rZ	257851.0
31	Response	255	258082.992
32	Sound	correct	258202.192
32	Response	1	258682.992
33	Picture	nonWM	258702.0
33	Picture	Y	260014.0
33	Picture	D	260374.0
33	Picture	Q	260734.0
33	Picture	gV	261095.0
33	Picture	G	261455.0
33	Picture	L	261815.0
33	Picture	F	262176.0
33	Picture	S	262536.0
33	Picture	WM	262897.0
33	Picture	rG	263571.0
33	Response	1	263843.992
34	Sound	correct	263963.192
34	Response	1	265358.992
35	Picture	nonWM	265377.0
35	Picture	gS	266689.0
35	Picture	gN	267049.0
35	Picture	R	267410.0
35	Picture	X	267770.0
35	Picture	M	268131.0
35	Picture	gT	268491.0
35	Picture	gB	268851.0
35	Picture	gG	269212.0
35	Picture	WM	269572.0
35	Picture	rR	270444.0
35	Response	1	270572.992
36	Sound	correct	270692.192
36	Response	255	271719.992
37	Picture	nonWM	271738.0
37	Picture	gN	273050.0
37	Picture	gB	273410.0
37	Picture	T	273771.0
37	Picture	S	274131.0
37	Picture	X	274492.0
37	Picture	gC	274852.0
37	Picture	gQ	275212.0
37	Picture	gR	275573.0
37	Picture	WM	275933.0
37	Picture	rS	276792.0
37	Response	1	277038.992
38	Sound	correct	277158.192
38	Response	1	277631.992
39	Picture	nonWM	277651.0
39	Picture	gP	278963.0
39	Picture	X	279323.0
39	Picture	gB	279684.0
39	Picture	Z	280044.0
39	Picture	gH	280404.0
39	Picture	gV	280765.0
39	Picture	gR	281125.0
39	Picture	F	281485.0
39	Picture	WM	281846.0
39	Picture	rQ	282596.0
39	Response	255	282778.992
40	Sound	correct	282898.192
40	Response	1	283437.992
41	Picture	nonWM	283455.0
41	Picture	P	284766.0
41	Picture	gQ	285127.0
41	Picture	S	285487.0
41	Picture	W	285848.0
41	Picture	D	286208.0
41	Picture	F	286568.0
41	Picture	C	286929.0
41	Picture	H	287289.0
41	Picture	WM	287650.0
41	Picture	rX	288223.0
41	Response	255	288460.992
42	Sound	correct	288580.192
42	Response	1	290206.992
43	Picture	nonWM	290227.0
43	Picture	gM	291538.0
43	Picture	F	291899.0
43	Picture	G	292259.0
43	Picture	K	292619.0
43	Picture	Z	292980.0
43	Picture	gQ	293340.0
43	Picture	gY	293700.0
43	Picture	N	294061.0
43	Picture	WM	294421.0
43	Picture	rK	295259.0
43	Response	1	295453.992
44	Sound	correct	295573.192
44	Response	255	296323.992
45	Picture	nonWM	296340.0
45	Picture	gQ	297652.0
45	Picture	P	298012.0
45	Picture	H	298373.0
45	Picture	R	298733.0
45	Picture	X	299094.0
45	Picture	C	299454.0
45	Picture	S	299814.0
45	Picture	V	300175.0
45	Picture	WM	300535.0
45	Picture	rZ	301331.0
45	Response	1	301622.992
46	Sound	wrong	301742.192
46	Response	255	303039.992
47	Picture	nonWM	303058.0
47	Picture	gP	304369.0
47	Picture	gR	304730.0
47	Picture	K	305090.0
47	Picture	gW	305450.0
47	Picture	C	305811.0
47	Picture	gZ	306171.0
47	Picture	gY	306531.0
47	Picture	X	306892.0
47	Picture	WM	307252.0
47	Picture	rB	307818.0
47	Response	255	308100.992
48	Sound	correct	308220.192
48	Response	1	308390.992
49	Picture	nonWM	308409.0
49	Picture	Q	309720.0
49	Picture	M	310081.0
49	Picture	gC	310441.0
49	Picture	gX	310802.0
49	Picture	gS	311162.0
49	Picture	W	311522.0
49	Picture	R	311883.0
49	Picture	H	312243.0
49	Picture	WM	312604.0
49	Picture	rQ	313580.0
49	Response	1	313801.992
50	Sound	correct	313921.192
50	Response	1	315640.992
1	Picture	nonWM	318316.0
1	Picture	Z	319627.0
1	Picture	X	319988.0
1	Picture	S	320348.0
1	Picture	Y	320708.0
1	Picture	C	321069.0
1	Picture	V	321429.0
1	Picture	T	321789.0
1	Picture	gW	322150.0
1	Picture	WM	322510.0
1	Picture	rV	323210.0
1	Response	1	323395.992
2	Sound	correct	323515.192
2	Response	255	323922.992
3	Picture	nonWM	323939.0
3	Picture	F	325251.0
3	Picture	M	325611.0
3	Picture	B	325972.0
3	Picture	gN	326332.0
3	Picture	L	326692.0
3	Picture	X	327053.0
3	Picture	J	327413.0
3	Picture	Y	327773.0
3	Picture	WM	328134.0
3	Picture	rP	329068.0
3	Response	255	329334.992
4	Sound	correct	329454.192
4	Response	1	330876.992
5	Picture	nonWM	330895.0
5	Picture	gR	332207.0
5	Picture	gX	332567.0
5	Picture	S	332927.0
5	Picture	P	333288.0
5	Picture	N	333648.0
5	Picture	gD	334009.0
5	Picture	gG	334369.0
5	Picture	gJ	334729.0
5	Picture	WM	335090.0
5	Picture	rM	335836.0
5	Response	255	336037.992
6	Sound	correct	336157.192
6	Response	1	337296.992
7	Picture	nonWM	337315.0
7	Picture	gD	338627.0
7	Picture	gV	338987.0
7	Picture	G	339347.0
7	Picture	gH	339708.0
7	Picture	gP	340068.0
7	Picture	gJ	340428.0
7	Picture	M	340789.0
7	Picture	Z	341149.0
7	Picture	WM	341510.0
7	Picture	rY	342151.0
7	Response	255	342312.992
8	Sound	correct	342432.192
8	Response	1	342615.992
9	Picture	nonWM	342633.0
9	Picture	Y	343944.0
9	Picture	gW	344305.0
9	Picture	S	344665.0
9	Picture	J	345025.0
9	Picture	P	345386.0
9	Picture	C	345746.0
9	Picture	D	346107.0
9	Picture	K	346467.0
9	Picture	WM	346827.0
9	Picture	rC	347766.0
9	Response	1	347921.992
10	Sound	correct	348041.192
10	Response	255	348844.992
11	Picture	nonWM	348864.0
11	Picture	gZ	350175.0
11	Picture	W	350536.0
11	Picture	gT	350896.0
11	Picture	R	351256.0
11	Picture	H	351617.0
11	Picture	L	351977.0
11	Picture	D	352338.0
11	Picture	gJ	352698.0
11	Picture	WM	353058.0
11	Picture	rH	353825.0
11	Response	255	353965.992
12	Sound	wrong	354085.192
12	Response	1	356088.992
13	Picture	nonWM	356105.0
13	Picture	gK	357417.0
13	Picture	gH	357777.0
13	Picture	L	358137.0
13	Picture	V	358498.0
13	Picture	R	358858.0
13	Picture	gC	359218.0
13	Picture	gJ	359579.0
13	Picture	gY	359939.0
13	Picture	WM	360299.0
13	Picture	rR	360861.0
13	Response	1	361077.992
14	Sound	correct	361197.192
14	Response	1	362290.992
15	Picture	nonWM	362307.0
15	Picture	B	363618.0
15	Picture	gF	363979.0
15	Picture	gH	364339.0
15	Picture	R	364699.0
15	Picture	gZ	365060.0
15	Picture	G	365420.0
15	Picture	gM	365781.0
15	Picture	gV	366141.0
15	Picture	WM	366501.0
15	Picture	rB	367381.0
15	Response	1	367537.992
16	Sound	correct	367657.192
16	Response	255	367846.992
17	Picture	nonWM	367863.0
17	Picture	gP	369175.0
17	Picture	gM	369535.0
17	Picture	D	369895.0
17	Picture	gZ	370256.0
17	Picture	gB	370616.0
17	Picture	R	370977.0
17	Picture	gN	371337.0
17	Picture	G	371697.0
17	Picture	WM	372058.0
17	Picture	rF	372829.0
